2,LINEA 2,STC Metro,1970,darkblue,AZUL,23.43,t,,
3,LINEA 3,STC Metro,1970,darkgreen,VERDE_OLIVO,23.61,t,,
4,LINEA 4,STC Metro,1981,lightblue,CIAN,10.75,t,,
5,LINEA 5,STC Metro,1981,yellow,AMARILLO,16.67,t,,
6,LINEA 6,STC Metro,1983,red,ROJO,13.95,t,,
7,LINEA 7,STC Metro,1984,orange,NARANJA,18.78,t,,
8,LINEA 8,STC Metro,1994,green,VERDE,20.08,t,,
9,LINEA 9,STC Metro,1987,#3F2212,CAFÉ,15.37,t,,
10,LINEA A,STC Metro,1991,purple,MORADA,17.19,t,,
11,LINEA B,STC Metro,1999,darkgreen,VERDE_GRIS,23.72,t,,
12,LINEA 12,STC Metro,2012,gold,DORADO,24.5,t,,
81,LINEA 81,STC Metro,2012,green,VERDE,25.4,f,,
71,Periférico Interior Sur,STC Anillar,2012,black,GRIS,40,f,,
72,Periférico Interior Poniente,STC Anillar,2012,gray,NEGRO,40,f,,
73,Periférico Interior Norte,STC Anillar,2012,darkred,ROJO_OBSCURO,40,f,,
74,Periférico Interior Oriente,STC Anillar,2012,purple,MORADO_OBSCURO,40,f,,
75,Periférico Exterior Sur,STC Anillar,2012,green,GRIS,40,f,,
76,Periférico Exterior Poniente,STC Anillar,2012,gray,NEGRO,40,f,,
77,Periférico Exterior Norte,STC Anillar,2012,darkred,ROJO_OBSCURO,40,f,,
78,Periférico Exterior Oriente,STC Anillar,2012,purple,MORADO_OBSCURO,40,f,,
801,Suburbano L1,STC InterUrbano,2008,darkred,ROJO_OBSCURO,40,t,,
802,Suburbano L2,STC InterUrbano,2008,darkred,ROJO_OBSCURO,40,f,,
803,Suburbano L1 - Ramal B,STC InterUrbano,2008,darkred,ROJO_OBSCURO,40,f,,
804,Suburbano L3,STC InterUrbano,2008,darkred,ROJO_OBSCURO,40,f,,
910,Cablebús L1,STC Teleférico,2021,lightblue,CIAN,9.2,t,,
911,Cablebús L1 (R1),STC Teleférico,2021,lightblue,CIAN,9.2,t,,
920,Cablebús L2,STC Teleférico,2024,lightblue,CIAN,5.5,t,,
930,Cablebús L3,STC Teleférico,2024,lightblue,CIAN,5.5,t,,
940,Cablebús L4,STC Teleférico,2024,lightblue,CIAN,0,t,,
941,Cablebús L4 (R1),STC Teleférico,2024,lightblue,CIAN,0,t,,
942,Cablebús L4 (R2),STC Teleférico,2024,lightblue,CIAN,0,t,,
950,Cablebús L5,STC Teleférico,2024,lightblue,CIAN,0,t,,
960,Cablebús L6,STC Teleférico,2024,lightblue,CIAN,0,t,,
970,Cablebús L7,STC Teleférico,2024,lightblue,CIAN,0,t,,
971,Cablebús L7 (R1),STC Teleférico,2024,lightblue,CIAN,0,t,,
972,Cablebús L7 (R1),STC Teleférico,2024,lightblue,CIAN,0,t,,
980,Cablebús L8,STC Teleférico,2025,lightblue,CIAN,0,t,,
990,Cablebús L9,STC Teleférico,2025,lightblue,CIAN,0,t,,
991,Cablebús L9 (R1),STC Teleférico,2025,lightblue,CIAN,0,t,,
1,LINEA 1,Subway,1970,#0000FF,Azul,18.8,t,,
